tier,short_name,title,issn_online,issn_print,host,route,feed_url,tls,feed_status,notes
2,SpecJur,Speculum Juris,2523-2177,0584-8652,Fort Hare (DHET lists LexisNexis),check,,strict,check,Locate current host before assigning a route
2,JJS,Journal for Juridical Science,,0258-252X,UFS OJS,ojs,https://journals.ufs.ac.za/index.php/jjs/gateway/plugin/WebFeedGatewayPlugin/rss2,relaxed,confirmed,"Host sends an incomplete certificate chain: Chrome repairs it, Python cannot. Feed itself is sound (RSS, 30 items 1 Sep 2026). tls=relaxed applies per row only."
2,CILSA,Comparative and International Law Journal of Southern Africa,,0010-4051,UNISA Press OJS (moved from Juta),ojs,https://unisapressjournals.co.za/index.php/CILSA/gateway/plugin/WebFeedGatewayPlugin/rss2,strict,confirmed,"feedcheck OK 1 Sep 2026: RSS, 6 items"
2,ActaAcad,Acta Academica,2415-0479,0587-2405,UFS OJS,ojs,https://journals.ufs.ac.za/index.php/aa/gateway/plugin/WebFeedGatewayPlugin/rss2,relaxed,confirmed,"Host sends an incomplete certificate chain: Chrome repairs it, Python cannot. Feed itself is sound (RSS, 30 items 1 Sep 2026). tls=relaxed applies per row only."
2,Fundamina,Fundamina,2411-7870,1021-545X,Juta,crossref,,strict,none,SciELO feed exists but is empty; Crossref by ISSN
2,AJIC,African Journal of Information and Communication,2077-7213,2077-7205,Wits OJS,ojs,,strict,check,Locate current OJS host (DHET URL is stale) before building feed URL
2,JLSD,Journal of Law Society and Development,2520-9515,2313-8289,UNISA Press OJS,ojs,https://unisapressjournals.co.za/index.php/JLSD/gateway/plugin/WebFeedGatewayPlugin/rss2,strict,confirmed,"feedcheck OK 1 Sep 2026: RSS, 9 items"
2,JCLA,Journal of Comparative Law in Africa,,2311-6889,Juta,rss,https://journals.co.za/action/showFeed?type=etoc&feed=rss&jc=jlc.jcla,strict,confirmed,"feedcheck OK 1 Sep 2026: RSS 1.0, 6 items"
2,AnnSurv,Annual Survey of South African Law,,0376-4605,Juta,crossref,,strict,none,Annual; property chapter is the item of interest
3,AJLS,African Journal of Legal Studies,1708-7384,2210-9730,Brill Nijhoff,rss,,strict,check,Round 1 /rss/journals/ajls returned 404; locate RSS link on the Brill journal page manually; Crossref as fallback
